operation,strategy,blockSize,fileSizeInBytes,durationInMs,
WRITE,BlockByBlockWithBufferedStream,10485760,500,16.0,
WRITE,BlockByBlockWithBufferedStream,10485760,50,15.0,
WRITE,BlockByBlockWithBufferedStream,10485760,5,63.0,
WRITE,ByteByByteWithBufferedStream,10485760,0,156.0,
WRITE,BlockByBlockWithoutBufferedStream,10485760,500,62.0,
WRITE,BlockByBlockWithoutBufferedStream,10485760,50,344.0,
WRITE,BlockByBlockWithoutBufferedStream,10485760,5,3188.0,
WRITE,ByteByByteWithoutBufferedStream,10485760,0,15439.0,
READ,BlockByBlockWithBufferedStream,10485760,500,0.0,
READ,BlockByBlockWithBufferedStream,10485760,50,0.0,
READ,BlockByBlockWithBufferedStream,10485760,5,15.0,
READ,ByteByByteWithBufferedStream,10485760,0,78.0,
READ,BlockByBlockWithoutBufferedStream,10485760,500,47.0,
READ,BlockByBlockWithoutBufferedStream,10485760,50,235.0,
READ,BlockByBlockWithoutBufferedStream,10485760,5,2312.0,
READ,ByteByByteWithoutBufferedStream,10485760,0,10735.0,
